hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
7.502945113788333,9.0,2.0,3.0,1.0,4.0,3.0,47.0,Travel_Rarely,Research & Development,1.0,3.0,Technical Degree,1.0,3111.0,Male,5.0,Manufacturing Director,Divorced,135700.0,5.0,Y,16.0,8.0,2.0,20.0,2.0,5.0,0.0,4.0
6.411313029897222,8.0,2.0,3.0,2.0,1.0,3.0,41.0,Travel_Rarely,Research & Development,7.0,3.0,Technical Degree,1.0,146.0,Female,3.0,Research Scientist,Married,27820.0,1.0,Y,14.0,8.0,0.0,10.0,2.0,10.0,0.0,7.0
7.2856135653725,8.0,3.0,3.0,4.0,2.0,3.0,32.0,Travel_Rarely,Sales,1.0,3.0,Life Sciences,1.0,948.0,Male,2.0,Research Scientist,Single,27430.0,1.0,Y,19.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0
6.757529004908333,12.0,4.0,3.0,4.0,4.0,3.0,39.0,Travel_Rarely,Sales,2.0,3.0,Life Sciences,1.0,481.0,Male,3.0,Human Resources,Married,21150.0,1.0,Y,18.0,8.0,0.0,21.0,3.0,21.0,11.0,8.0
5.784857206604166,9.0,3.0,3.0,4.0,4.0,2.0,37.0,Travel_Rarely,Sales,1.0,4.0,Life Sciences,1.0,1553.0,Male,2.0,Healthcare Representative,Divorced,133480.0,7.0,Y,14.0,8.0,0.0,8.0,4.0,6.0,0.0,4.0
5.723318830878889,22.0,2.0,3.0,1.0,3.0,1.0,37.0,Travel_Rarely,Sales,10.0,4.0,Marketing,1.0,1908.0,Female,3.0,Human Resources,Married,30720.0,5.0,Y,14.0,8.0,0.0,17.0,3.0,14.0,11.0,7.0
9.859254796965555,15.0,2.0,3.0,1.0,3.0,3.0,30.0,Travel_Rarely,Sales,2.0,3.0,Life Sciences,1.0,3403.0,Male,2.0,Healthcare Representative,Married,40000.0,4.0,Y,12.0,8.0,0.0,7.0,5.0,5.0,0.0,1.0
6.326625390450555,7.0,3.0,3.0,1.0,3.0,3.0,38.0,Travel_Frequently,Research & Development,1.0,4.0,Other,1.0,1161.0,Male,2.0,Research Scientist,Married,36690.0,2.0,Y,19.0,8.0,0.0,10.0,2.0,8.0,7.0,7.0
6.399309460062222,15.0,3.0,3.0,3.0,3.0,3.0,53.0,Travel_Rarely,Research & Development,7.0,1.0,Life Sciences,1.0,3217.0,Male,2.0,Laboratory Technician,Married,28590.0,3.0,Y,18.0,8.0,1.0,32.0,2.0,5.0,1.0,3.0
7.872810129406389,4.0,3.0,3.0,4.0,1.0,3.0,33.0,Travel_Rarely,Research & Development,8.0,5.0,Medical,1.0,1025.0,Male,2.0,Laboratory Technician,Married,82240.0,6.0,Y,19.0,8.0,0.0,14.0,3.0,10.0,7.0,6.0
